0  1  1  0  0  1  1  1
0  1  1  0  2  0  1  1
0  1  1  2  0  1  1  1
0  1  1  2  2  0  1  1
1  1  1  0  1  1  6  4
1  1  1  0  3  0  4  3
1  1  1  2  1  1  6  4
1  1  1  2  3  0  4  3
1  1  1  0  0  0  2  1
1  1  1  2  0  0  2  1
1  1  3  2  0  0  1  1
1  1  3  2  1  1  1  1
1  1  3  4  0  0  1  1
1  1  3  4  1  1  1  1
1  3  1  2  0  0  1  1
1  3  1  2  1  1  1  1
1  3  1  4  0  0  1  1
1  3  1  4  1  1  1  1
2  1  1  0  0  2  11  6
2  1  1  0  1  0  11  5
2  1  1  0  2  1  20  11
2  1  1  2  0  2  11  6
2  1  1  2  1  0  11  5
2  1  1  2  2  1  20  11
2  1  3  2  1  0  5  3
2  1  3  4  1  0  5  3
2  1  3  2  0  2  2  1
2  1  3  2  2  1  4  3
2  1  3  4  0  2  2  1
2  1  3  4  2  1  4  3
2  1  1  0  4  0  10  6
2  1  1  2  4  0  10  6
2  1  3  2  4  0  1  1
2  1  3  4  4  0  1  1
2  3  1  2  1  0  5  3
2  3  1  2  2  1  4  3
2  3  1  4  1  0  5  3
2  3  1  4  2  1  4  3
2  3  1  2  0  2  2  1
2  3  1  4  0  2  2  1
2  3  3  0  0  2  1  1
2  3  3  0  1  0  1  1
2  3  3  2  0  2  1  1
2  3  3  2  1  0  1  1
2  3  3  4  0  2  1  1
2  3  3  4  1  0  1  1
2  3  3  6  0  2  1  1
2  3  3  6  1  0  1  1
2  3  1  2  4  0  1  1
2  3  1  4  4  0  1  1
3  1  1  0  0  1  24  9
3  1  1  0  1  2  44  19
3  1  1  2  0  1  24  9
3  1  1  2  1  2  44  19
3  1  1  0  2  0  36  14
3  1  1  0  3  1  50  24
3  1  1  2  2  0  36  14
3  1  1  2  3  1  50  24
3  1  1  0  5  0  22  12
3  1  1  2  5  0  22  12
3  1  3  2  0  1  8  3
3  1  3  2  2  0  16  8
3  1  3  4  0  1  8  3
3  1  3  4  2  0  16  8
3  1  3  2  1  2  11  6
3  1  3  2  3  1  12  7
3  1  3  4  1  2  11  6
3  1  3  4  3  1  12  7
3  1  3  2  5  0  3  2
3  1  3  4  5  0  3  2
3  3  1  2  0  1  8  3
3  3  1  2  1  2  11  6
3  3  1  2  2  0  16  8
3  3  1  4  0  1  8  3
3  3  1  4  1  2  11  6
3  3  1  4  2  0  16  8
3  3  3  0  0  1  4  2
3  3  3  2  0  1  4  2
3  3  3  4  0  1  4  2
3  3  3  6  0  1  4  2
3  3  3  0  1  2  2  1
3  3  3  0  2  0  4  3
3  3  3  2  1  2  2  1
3  3  3  2  2  0  4  3
3  3  3  4  1  2  2  1
3  3  3  4  2  0  4  3
3  3  3  6  1  2  2  1
3  3  3  6  2  0  4  3
3  3  1  2  3  1  12  7
3  3  1  4  3  1  12  7
3  3  3  0  3  1  2  2
3  3  3  2  3  1  2  2
3  3  3  4  3  1  2  2
3  3  3  6  3  1  2  2
3  3  1  2  5  0  3  2
3  3  1  4  5  0  3  2
4  1  1  0  2  2  120  46
4  1  1  0  3  0  91  31
4  1  1  0  4  1  107  45
4  1  1  2  2  2  120  46
4  1  1  2  3  0  91  31
4  1  1  2  4  1  107  45
4  1  1  0  6  0  43  21
4  1  1  2  6  0  43  21
4  1  1  0  0  0  21  6
4  1  1  0  1  1  100  32
