   0   0   1      2   0   1      0   2   0   0   1   0    -3.0000000000000027e+00
   0   1   0      2   1   0      0   2   0   0   1   0    -3.0000000000000018e+00
   1   0   0      3   0   0      0   2   0   0   1   0    -3.8729833462074175e+00
   1   1   1      3   1   1      0   2   0   0   1   0    -3.8729833462074166e+00
   2   0   1      4   0   1      0   2   0   0   1   0    -4.7434164902525673e+00
   2   1   0      4   1   0      0   2   0   0   1   0    -4.7434164902525682e+00
   3   0   0      5   0   0      0   2   0   0   1   0    -5.6124860801609042e+00
   3   1   1      5   1   1      0   2   0   0   1   0    -5.6124860801609042e+00
   4   0   1      6   0   1      0   2   0   0   1   0    -6.4807406984078462e+00
   4   1   0      6   1   0      0   2   0   0   1   0    -6.4807406984078453e+00
   2   0   1      4   0   1      2   4   0   0   1   0    0.0000000000000000e+00
   2   1   0      4   1   0      2   4   0   0   1   0    0.0000000000000000e+00
   3   0   0      5   0   0      2   4   0   0   1   0    0.0000000000000000e+00
   3   1   1      5   1   1      2   4   0   0   1   0    0.0000000000000000e+00
   4   0   1      6   0   1      2   4   0   0   1   0    0.0000000000000000e+00
   4   1   0      6   1   0      2   4   0   0   1   0    0.0000000000000000e+00
   4   0   1      6   0   1      4   6   0   0   1   0    0.0000000000000000e+00
   4   1   0      6   1   0      4   6   0   0   1   0    0.0000000000000000e+00
   0   0   1      0   0   1      0   0   0   0   1   0    1.5000000000000000e+00
   0   1   0      0   1   0      0   0   0   0   1   0    1.4999999999999996e+00
   1   0   0      1   0   0      0   0   0   0   1   0    2.4999999999999991e+00
   1   1   1      1   1   1      0   0   0   0   1   0    2.4999999999999991e+00
   2   0   1      2   0   1      0   0   0   0   1   0    3.4999999999999991e+00
   2   1   0      2   1   0      0   0   0   0   1   0    3.5000000000000000e+00
   3   0   0      3   0   0      0   0   0   0   1   0    4.4999999999999982e+00
   3   1   1      3   1   1      0   0   0   0   1   0    4.4999999999999991e+00
   4   0   1      4   0   1      0   0   0   0   1   0    5.4999999999999991e+00
   4   1   0      4   1   0      0   0   0   0   1   0    5.4999999999999982e+00
   5   0   0      5   0   0      0   0   0   0   1   0    6.4999999999999991e+00
   5   1   1      5   1   1      0   0   0   0   1   0    6.4999999999999982e+00
   6   0   1      6   0   1      0   0   0   0   1   0    7.5000000000000000e+00
   6   1   0      6   1   0      0   0   0   0   1   0    7.4999999999999982e+00
   2   0   1      2   0   1      2   2   0   0   1   0    0.0000000000000000e+00
   2   1   0      2   1   0      2   2   0   0   1   0    0.0000000000000000e+00
   3   0   0      3   0   0      2   2   0   0   1   0    0.0000000000000000e+00
   3   1   1      3   1   1      2   2   0   0   1   0    0.0000000000000000e+00
   4   0   1      4   0   1      2   2   0   0   1   0    0.0000000000000000e+00
   4   1   0      4   1   0      2   2   0   0   1   0    0.0000000000000000e+00
   5   0   0      5   0   0      2   2   0   0   1   0    0.0000000000000000e+00
   5   1   1      5   1   1      2   2   0   0   1   0    0.0000000000000000e+00
   6   0   1      6   0   1      2   2   0   0   1   0    0.0000000000000000e+00
   6   1   0      6   1   0      2   2   0   0   1   0    0.0000000000000000e+00
   4   0   1      4   0   1      4   4   0   0   1   0    0.0000000000000000e+00
   4   1   0      4   1   0      4   4   0   0   1   0    0.0000000000000000e+00
   5   0   0      5   0   0      4   4   0   0   1   0    0.0000000000000000e+00
   5   1   1      5   1   1      4   4   0   0   1   0    0.0000000000000000e+00
   6   0   1      6   0   1      4   4   0   0   1   0    0.0000000000000000e+00
   6   1   0      6   1   0      4   4   0   0   1   0    0.0000000000000000e+00
   6   0   1      6   0   1      6   6   0   0   1   0    0.0000000000000000e+00
   6   1   0      6   1   0      6   6   0   0   1   0    0.0000000000000000e+00
   2   0   1      0   0   1      2   0   0   0   1   0    -1.2247448713915898e+00
   2   1   0      0   1   0      2   0   0   0   1   0    -1.2247448713915894e+00
   3   0   0      1   0   0      2   0   0   0   1   0    -2.1213203435596419e+00
   3   1   1      1   1   1      2   0   0   0   1   0    -2.1213203435596415e+00
   4   0   1      2   0   1      2   0   0   0   1   0    -2.9999999999999982e+00
   4   1   0      2   1   0      2   0   0   0   1   0    -2.9999999999999982e+00
   5   0   0      3   0   0      2   0   0   0   1   0    -3.8729833462074121e+00
   5   1   1      3   1   1      2   0   0   0   1   0    -3.8729833462074126e+00
   6   0   1      4   0   1      2   0   0   0   1   0    -4.7434164902525602e+00
   6   1   0      4   1   0      2   0   0   0   1   0    -4.7434164902525602e+00
   4   0   1      2   0   1      4   2   0   0   1   0    0.0000000000000000e+00
   4   1   0      2   1   0      4   2   0   0   1   0    0.0000000000000000e+00
   5   0   0      3   0   0      4   2   0   0   1   0    0.0000000000000000e+00
   5   1   1      3   1   1      4   2   0   0   1   0    0.0000000000000000e+00
   6   0   1      4   0   1      4   2   0   0   1   0    0.0000000000000000e+00
   6   1   0      4   1   0      4   2   0   0   1   0    0.0000000000000000e+00
   6   0   1      4   0   1      6   4   0   0   1   0    0.0000000000000000e+00
   6   1   0      4   1   0      6   4   0   0   1   0    0.0000000000000000e+00
